Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details
if you like;;;A2;phrase;communication;Details
instructions;;;A2;phrase;communication;Details
let sb know;;;A2;phrase;communication;Details
let's;;;A2;phrase;communication;Details
let sb know (sth);;;A2;phrase;communication;Details
What is sb/sth like?;;;A2;phrase;communication;Details
love/(with) love/all my love/lots of love;;;A2;phrase;communication;Details
I don't mind;;;A2;phrase;communication;Details
never mind;;;A2;phrase;communication;Details
no thanks;;;A2;phrase;communication;Details
Oh no!;;;A2;phrase;communication;Details
not too;;;A2;phrase;communication;Details
notes;;;A2;phrase;communication;Details
a pity;;;A2;phrase;communication;Details
and so on;;;A2;phrase;communication;Details
or something (like that);;;A2;phrase;communication;Details
such a(n);;;A2;phrase;communication;Details
such as;;;A2;phrase;communication;Details
I suppose;;;A2;phrase;communication;Details
tell sb to do sth;;;A2;phrase;communication;Details
by the way;;;A2;phrase;communication;Details
you're welcome;;;A2;phrase;communication;Details
What about ...?;;;A2;phrase;communication;Details
why don't you?/ why not do sth?;;;A2;phrase;communication;Details
would love sth;;;A2;phrase;communication;Details
police;;;A2;noun;crime;Details
below;pastda;POSITION;A1;adverb;describing things;Details
above;yuqorida;HIGHER POSITION;A1;adverb;describing things;Details
on;ustida;SURFACE;A1;preposition;describing things;Details
a lot/lots;ko'p;;A1;phrase;describing things;Details
good;;PLEASANT;A1;adjective;describing things;Details
close;;NEAR;A1;adjective;describing things;Details
clean;;NOT DIRTY;A1;adjective;describing things;Details
brown;;;A1;adjective;describing things;Details
blue;;COLOR;A1;adjective;describing things;Details
black;;COLOR;A1;adjective;describing things;Details
big;;SIZE;A1;adjective;describing things;Details
best;;BETTER THAN ALL;A1;adjective;describing things;Details
bottom;;LOWEST PART;A1;noun;describing things;Details
bad;;UNPLEASANT;A1;adjective;describing things;Details
color;;APPEARANCE;A1;noun;describing things;Details
paper;;FLAT MATERIAL;A1;noun;describing things;Details
better;;HIGHER STANDARD;A1;adjective;describing things;Details
